==================================================================
Final Processed Results from ESNet RIB (not in CRIC)
==================================================================
AS Number  | Prefix                    | Organization/NetName
63961      | 2402:f500:4:3::/126       | BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
63961      | 2402:f500::/32            | BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
63961      | 2402:f500::99/128         | BDREN-UGC-AS-AP Bangladesh Research and Education Network BdREN, BD
63961      | 2406:4b00:2::/126         | BANGLADESH-AS-AP Bangladesh Submarine Cable Company Limited BSCCL, BD
132365     | 2401:3b40::/32            | BANGLADESHAGRICULTURALUNIVERSITY-AS-AP Bangladesh Agricultural University BAU, BD
133168     | 2400:a7c0::/32            | SUOSAT-AS-AP Shahjalal University of Science and Technology, BD
135524     | 2405:ac80::/32            | UNIVERSITYOFDHAKA-AS-AP university of dhaka, BD
138382     | 2403:d8c0::/32            | BRUR-AS-AP Begum Rokeya University, Rangpur, BD
216467     | 130.92.140.0/24           | SWITCH Switch, Swiss Academic and Research Network, CH
216467     | 2001:620:400:fea8::/64    | SWITCH Switch, Swiss Academic and Research Network, CH
==================================================================
